Type,Method,Peak,Analysis,Area
Purified,A,peak 1,1º,0
Purified,A,peak 1,2º,0
Purified,A,peak 1,3º,0
Purified,A,peak 2,1º,17.05
Purified,A,peak 2,2º,12.65
Purified,A,peak 2,3º,14.23
Purified,A,peak 3,1º,0
Purified,A,peak 3,2º,0
Purified,A,peak 3,3º,0
Purified,A,peak 4,1º,53.49
Purified,A,peak 4,2º,61.74
Purified,A,peak 4,3º,58.01
Purified,A,peak 5,1º,1.97
Purified,A,peak 5,2º,5.65
Purified,A,peak 5,3º,5.48
Purified,A,peak 6,1º,10.2
Purified,A,peak 6,2º,7.33
Purified,A,peak 6,3º,8.15
Purified,A,peak 7,1º,9.27
Purified,A,peak 7,2º,5.47
Purified,A,peak 7,3º,6.76
Purified,A,peak 8,1º,6.55
Purified,A,peak 8,2º,5.37
Purified,A,peak 8,3º,5.94
Purified,A,peak 9,1º,1.46
Purified,A,peak 9,2º,1.76
Purified,A,peak 9,3º,1.42
Purified,A,peak 10,1º,0
Purified,A,peak 10,2º,0
Purified,A,peak 10,3º,0
Purified,B,peak 1,1º,1.42
Purified,B,peak 1,2º,1.74
Purified,B,peak 1,3º,1.45
Purified,B,peak 2,1º,11.45
Purified,B,peak 2,2º,11.67
Purified,B,peak 2,3º,13.82
Purified,B,peak 3,1º,1.25
Purified,B,peak 3,2º,1.17
Purified,B,peak 3,3º,0.82
Purified,B,peak 4,1º,54.37
Purified,B,peak 4,2º,55.79
Purified,B,peak 4,3º,56.93
Purified,B,peak 5,1º,7.05
Purified,B,peak 5,2º,6.42
Purified,B,peak 5,3º,5.78
Purified,B,peak 6,1º,9.2
Purified,B,peak 6,2º,8
Purified,B,peak 6,3º,8
Purified,B,peak 7,1º,7.35
Purified,B,peak 7,2º,7.19
Purified,B,peak 7,3º,6.5
Purified,B,peak 8,1º,4.67
Purified,B,peak 8,2º,4.77
Purified,B,peak 8,3º,4.39
Purified,B,peak 9,1º,1.72
Purified,B,peak 9,2º,1.32
Purified,B,peak 9,3º,1.16
Purified,B,peak 10,1º,1.52
Purified,B,peak 10,2º,1.94
Purified,B,peak 10,3º,1.13
Purified,C,peak 1,1º,0.64
Purified,C,peak 1,2º,1.08
Purified,C,peak 1,3º,0.62
Purified,C,peak 2,1º,9.64
Purified,C,peak 2,2º,9.71
